  In (13,9), the ground is expected to be yellow, but it is white.
  In (13,17), the ground is expected to be red, but it is green.
  In (13,20), the ground is expected to be blue, but it is white.
  In (13,21), the ground is expected to be white, but it is blue.
  In (13,22), the ground is expected to be red, but it is white.
  In (13,23), the ground is expected to be white, but it is yellow.
  In (13,24), the ground is expected to be yellow, but it is white.
  In (13,25), the ground is expected to be blue, but it is white.
  In (13,26), the ground is expected to be white, but it is red.
  In (13,27), the ground is expected to be red, but it is white.
  In (13,28), the ground is expected to be white, but it is red.
  In (13,29), the ground is expected to be yellow, but it is white.
  In (13,30), the ground is expected to be blue, but it is white.
  In (13,31), the ground is expected to be white, but it is green.
  In (13,32), the ground is expected to be red, but it is white.
  In (13,33), the ground is expected to be white, but it is green.
  In (13,34), the ground is expected to be yellow, but it is white.
  In (13,35), the ground is expected to be blue, but it is white.
  In (13,36), the ground is expected to be white, but it is blue.
  In (13,37), the ground is expected to be red, but it is white.
  In (13,38), the ground is expected to be white, but it is yellow.
  In (13,39), the ground is expected to be yellow, but it is white.
  In (14,0), the ground is expected to be white, but it is blue.
  In (14,1), the ground is expected to be red, but it is blue.
  In (14,2), the ground is expected to be white, but it is green.
  In (14,3), the ground is expected to be red, but it is yellow.
  In (14,4), the ground is expected to be white, but it is yellow.
  In (14,6), the ground is expected to be red, but it is white.
  In (14,8), the ground is expected to be red, but it is white.
  In (14,16), the ground is expected to be red, but it is blue.
  In (14,18), the ground is expected to be red, but it is yellow.
  In (14,20), the ground is expected to be white, but it is blue.
  In (14,21), the ground is expected to be red, but it is white.
  In (14,22), the ground is expected to be white, but it is red.
  In (14,23), the ground is expected to be red, but it is white.
  In (14,24), the ground is expected to be white, but it is yellow.
  In (14,26), the ground is expected to be red, but it is green.
  In (14,28), the ground is expected to be red, but it is green.
  In (14,30), the ground is expected to be white, but it is blue.
  In (14,31), the ground is expected to be red, but it is white.
  In (14,32), the ground is expected to be white, but it is green.
  In (14,33), the ground is expected to be red, but it is white.
  In (14,34), the ground is expected to be white, but it is yellow.
  In (14,35), the ground is expected to be white, but it is blue.
  In (14,36), the ground is expected to be red, but it is white.
  In (14,37), the ground is expected to be white, but it is red.
  In (14,38), the ground is expected to be red, but it is white.
  In (14,39), the ground is expected to be white, but it is yellow.
  In (15,0), the ground is expected to be white, but it is blue.
  In (15,1), the ground is expected to be green, but it is blue.
  In (15,2), the ground is expected to be white, but it is red.
  In (15,3), the ground is expected to be green, but it is yellow.
  In (15,4), the ground is expected to be white, but it is yellow.
  In (15,11), the ground is expected to be green, but it is white.
  In (15,13), the ground is expected to be green, but it is white.
  In (15,15), the ground is expected to be white, but it is blue.
  In (15,16), the ground is expected to be green, but it is white.
  In (15,17), the ground is expected to be white, but it is red.
  In (15,18), the ground is expected to be green, but it is white.
  In (15,19), the ground is expected to be white, but it is yellow.
  In (15,21), the ground is expected to be green, but it is red.
  In (15,23), the ground is expected to be green, but it is red.
  In (15,25), the ground is expected to be white, but it is blue.
  In (15,26), the ground is expected to be green, but it is white.
  In (15,27), the ground is expected to be white, but it is green.
  In (15,28), the ground is expected to be green, but it is white.
  In (15,29), the ground is expected to be white, but it is yellow.
  In (15,31), the ground is expected to be green, but it is blue.
  In (15,33), the ground is expected to be green, but it is yellow.
  In (15,36), the ground is expected to be green, but it is red.
  In (15,38), the ground is expected to be green, but it is red.
  In (15,41), the ground is expected to be green, but it is white.
  In (15,43), the ground is expected to be green, but it is white.
  In (16,1), the ground is expected to be white, but it is red.
  In (16,2), the ground is expected to be green, but it is red.
  In (16,3), the ground is expected to be white, but it is red.
  In (16,10), the ground is expected to be blue, but it is white.
  In (16,12), the ground is expected to be green, but it is white.
  In (16,14), the ground is expected to be yellow, but it is white.
  In (16,15), the ground is expected to be blue, but it is white.
  In (16,16), the ground is expected to be white, but it is red.
  In (16,17), the ground is expected to be green, but it is white.
  In (16,18), the ground is expected to be white, but it is red.
  In (16,19), the ground is expected to be yellow, but it is white.
  In (16,20), the ground is expected to be blue, but it is white.
  In (16,21), the ground is expected to be white, but it is green.
  In (16,22), the ground is expected to be green, but it is white.
  In (16,23), the ground is expected to be white, but it is green.
  In (16,24), the ground is expected to be yellow, but it is white.
  In (16,25), the ground is expected to be blue, but it is white.
  In (16,26), the ground is expected to be white, but it is blue.
  In (16,27), the ground is expected to be green, but it is white.
  In (16,28), the ground is expected to be white, but it is yellow.
  In (16,29), the ground is expected to be yellow, but it is white.
  In (16,32), the ground is expected to be green, but it is red.
  In (16,36), the ground is expected to be white, but it is green.
  In (16,38), the ground is expected to be white, but it is green.
  In (16,40), the ground is expected to be blue, but it is white.
  In (16,42), the ground is expected to be green, but it is white.
  In (16,44), the ground is expected to be yellow, but it is white.
  In (17,1), the ground is expected to be blue, but it is red.
  In (17,3), the ground is expected to be yellow, but it is red.
  In (17,11), the ground is expected to be blue, but it is white.
  In (17,13), the ground is expected to be yellow, but it is white.
  In (17,16), the ground is expected to be blue, but it is green.
  In (17,18), the ground is expected to be yellow, but it is green.
  In (17,20), the ground is expected to be white, but it is blue.
  In (17,21), the ground is expected to be blue, but it is white.
  In (17,22), the ground is expected to be white, but it is green.
  In (17,23), the ground is expected to be yellow, but it is white.
  In (17,24), the ground is expected to be white, but it is yellow.
  In (17,25), the ground is expected to be white, but it is blue.
  In (17,26), the ground is expected to be blue, but it is white.
  In (17,27), the ground is expected to be white, but it is red.
  In (17,28), the ground is expected to be yellow, but it is white.
  In (17,29), the ground is expected to be white, but it is yellow.
  In (17,31), the ground is expected to be blue, but it is red.
  In (17,33), the ground is expected to be yellow, but it is red.
  In (17,35), the ground is expected to be white, but it is blue.
  In (17,37), the ground is expected to be white, but it is green.
  In (17,39), the ground is expected to be white, but it is yellow.
