  In (14,25), the ground is expected to be light grey, but it is white.
  In (14,30), the ground is expected to be light grey, but it is white.
  In (14,32), the ground is expected to be light grey, but it is white.
  In (14,33), the ground is expected to be white, but it is light grey.
  In (14,35), the ground is expected to be white, but it is light grey.
  In (14,39), the ground is expected to be light grey, but it is white.
  In (14,43), the ground is expected to be white, but it is light grey.
  In (14,44), the ground is expected to be light grey, but it is white.
  In (14,45), the ground is expected to be white, but it is light grey.
  In (14,46), the ground is expected to be light grey, but it is white.
  In (14,47), the ground is expected to be white, but it is light grey.
  In (14,51), the ground is expected to be light grey, but it is white.
  In (14,53), the ground is expected to be light grey, but it is white.
  In (14,54), the ground is expected to be white, but it is light grey.
  In (14,56), the ground is expected to be white, but it is light grey.
  In (14,58), the ground is expected to be light grey, but it is white.
  In (14,60), the ground is expected to be light grey, but it is white.
  In (15,1), the ground is expected to be white, but it is light grey.
  In (15,10), the ground is expected to be light grey, but it is white.
  In (15,17), the ground is expected to be light grey, but it is white.
  In (15,24), the ground is expected to be light grey, but it is white.
  In (15,31), the ground is expected to be light grey, but it is white.
  In (15,34), the ground is expected to be white, but it is light grey.
  In (15,36), the ground is expected to be white, but it is light grey.
  In (15,38), the ground is expected to be light grey, but it is white.
  In (15,44), the ground is expected to be white, but it is light grey.
  In (15,45), the ground is expected to be light grey, but it is white.
  In (15,46), the ground is expected to be white, but it is light grey.
  In (15,52), the ground is expected to be light grey, but it is white.
  In (15,53), the ground is expected to be white, but it is light grey.
  In (15,55), the ground is expected to be white, but it is light grey.
  In (15,57), the ground is expected to be white, but it is light grey.
  In (15,59), the ground is expected to be light grey, but it is white.
  In (16,2), the ground is expected to be white, but it is light grey.
  In (16,4), the ground is expected to be white, but it is light grey.
  In (16,6), the ground is expected to be light grey, but it is white.
  In (16,7), the ground is expected to be light grey, but it is white.
  In (16,13), the ground is expected to be light grey, but it is white.
  In (16,14), the ground is expected to be light grey, but it is white.
  In (16,20), the ground is expected to be light grey, but it is white.
  In (16,21), the ground is expected to be light grey, but it is white.
  In (16,27), the ground is expected to be light grey, but it is white.
  In (16,28), the ground is expected to be light grey, but it is white.
  In (16,33), the ground is expected to be white, but it is light grey.
  In (16,34), the ground is expected to be light grey, but it is white.
  In (16,37), the ground is expected to be white, but it is light grey.
  In (16,41), the ground is expected to be light grey, but it is white.
  In (16,42), the ground is expected to be light grey, but it is white.
  In (16,44), the ground is expected to be white, but it is light grey.
  In (16,46), the ground is expected to be white, but it is light grey.
  In (16,48), the ground is expected to be light grey, but it is white.
  In (16,49), the ground is expected to be light grey, but it is white.
  In (16,54), the ground is expected to be white, but it is light grey.
  In (16,55), the ground is expected to be light grey, but it is white.
  In (16,62), the ground is expected to be light grey, but it is white.
  In (17,3), the ground is expected to be white, but it is light grey.
  In (17,5), the ground is expected to be light grey, but it is white.
  In (17,8), the ground is expected to be light grey, but it is white.
  In (17,12), the ground is expected to be light grey, but it is white.
  In (17,15), the ground is expected to be light grey, but it is white.
