  In (19,41), the ground is expected to be white, but it is light grey.
  In (19,42), the ground is expected to be white, but it is light grey.
  In (19,43), the ground is expected to be white, but it is light grey.
  In (19,44), the ground is expected to be white, but it is light grey.
  In (19,46), the ground is expected to be white, but it is light grey.
  In (19,48), the ground is expected to be white, but it is light grey.
  In (19,52), the ground is expected to be light grey, but it is white.
  In (19,58), the ground is expected to be white, but it is light grey.
  In (19,59), the ground is expected to be light grey, but it is white.
  In (19,60), the ground is expected to be white, but it is light grey.
  In (19,61), the ground is expected to be white, but it is light grey.
  In (19,62), the ground is expected to be white, but it is light grey.
  In (20,1), the ground is expected to be white, but it is light grey.
  In (20,9), the ground is expected to be light grey, but it is white.
  In (20,11), the ground is expected to be light grey, but it is white.
  In (20,16), the ground is expected to be light grey, but it is white.
  In (20,18), the ground is expected to be light grey, but it is white.
  In (20,19), the ground is expected to be white, but it is light grey.
  In (20,21), the ground is expected to be white, but it is light grey.
  In (20,22), the ground is expected to be white, but it is light grey.
  In (20,23), the ground is expected to be light grey, but it is white.
  In (20,24), the ground is expected to be white, but it is light grey.
  In (20,27), the ground is expected to be white, but it is light grey.
  In (20,30), the ground is expected to be light grey, but it is white.
  In (20,32), the ground is expected to be light grey, but it is white.
  In (20,37), the ground is expected to be light grey, but it is white.
  In (20,41), the ground is expected to be white, but it is light grey.
  In (20,42), the ground is expected to be white, but it is light grey.
  In (20,45), the ground is expected to be white, but it is light grey.
  In (20,46), the ground is expected to be light grey, but it is white.
  In (20,47), the ground is expected to be white, but it is light grey.
  In (20,51), the ground is expected to be light grey, but it is white.
  In (20,53), the ground is expected to be light grey, but it is white.
  In (20,58), the ground is expected to be light grey, but it is white.
  In (20,59), the ground is expected to be white, but it is light grey.
  In (20,60), the ground is expected to be light grey, but it is white.
  In (20,61), the ground is expected to be white, but it is light grey.
  In (20,62), the ground is expected to be white, but it is light grey.
  In (21,0), the ground is expected to be white, but it is light grey.
  In (21,1), the ground is expected to be white, but it is light grey.
  In (21,3), the ground is expected to be white, but it is light grey.
  In (21,4), the ground is expected to be light grey, but it is white.
  In (21,5), the ground is expected to be white, but it is light grey.
  In (21,9), the ground is expected to be light grey, but it is white.
  In (21,11), the ground is expected to be light grey, but it is white.
  In (21,16), the ground is expected to be light grey, but it is white.
  In (21,20), the ground is expected to be white, but it is light grey.
  In (21,21), the ground is expected to be white, but it is light grey.
  In (21,22), the ground is expected to be white, but it is light grey.
  In (21,24), the ground is expected to be white, but it is light grey.
  In (21,26), the ground is expected to be white, but it is light grey.
  In (21,28), the ground is expected to be white, but it is light grey.
  In (21,30), the ground is expected to be light grey, but it is white.
  In (21,32), the ground is expected to be light grey, but it is white.
  In (21,37), the ground is expected to be light grey, but it is white.
  In (21,38), the ground is expected to be white, but it is light grey.
  In (21,39), the ground is expected to be light grey, but it is white.
  In (21,40), the ground is expected to be white, but it is light grey.
  In (21,41), the ground is expected to be white, but it is light grey.
  In (21,42), the ground is expected to be white, but it is light grey.
  In (21,43), the ground is expected to be white, but it is light grey.
  In (21,45), the ground is expected to be white, but it is light grey.
  In (21,48), the ground is expected to be white, but it is light grey.
  In (21,51), the ground is expected to be light grey, but it is white.
