The amount of steps is wrong: 83420 is not 0
  In (7,56), the ground is expected to be white, but it is red.
  In (7,60), the ground is expected to be white, but it is red.
  In (7,61), the ground is expected to be white, but it is red.
  In (7,62), the ground is expected to be white, but it is yellow.
  In (7,63), the ground is expected to be white, but it is yellow.
  In (7,65), the ground is expected to be white, but it is red.
  In (7,66), the ground is expected to be white, but it is red.
  In (7,67), the ground is expected to be white, but it is red.
  In (7,68), the ground is expected to be white, but it is red.
  In (7,69), the ground is expected to be white, but it is red.
  In (7,70), the ground is expected to be white, but it is yellow.
  In (7,73), the ground is expected to be white, but it is red.
  In (7,76), the ground is expected to be white, but it is yellow.
  In (7,78), the ground is expected to be white, but it is red.
  In (7,79), the ground is expected to be white, but it is red.
  In (7,80), the ground is expected to be white, but it is yellow.
  In (7,81), the ground is expected to be white, but it is yellow.
  In (7,83), the ground is expected to be white, but it is red.
  In (7,85), the ground is expected to be white, but it is red.
  In (7,86), the ground is expected to be white, but it is yellow.
  In (7,87), the ground is expected to be white, but it is red.
  In (7,90), the ground is expected to be white, but it is red.
  In (7,92), the ground is expected to be white, but it is red.
  In (7,94), the ground is expected to be white, but it is red.
  In (7,95), the ground is expected to be white, but it is red.
  In (7,96), the ground is expected to be white, but it is yellow.
  In (7,97), the ground is expected to be white, but it is yellow.
  In (7,98), the ground is expected to be white, but it is yellow.
  In (7,99), the ground is expected to be white, but it is yellow.
  In (8,0), the ground is expected to be white, but it is red.
  In (8,1), the ground is expected to be white, but it is yellow.
  In (8,2), the ground is expected to be white, but it is yellow.
  In (8,4), the ground is expected to be white, but it is yellow.
  In (8,5), the ground is expected to be white, but it is yellow.
  In (8,7), the ground is expected to be white, but it is red.
  In (8,8), the ground is expected to be white, but it is red.
  In (8,10), the ground is expected to be white, but it is red.
  In (8,11), the ground is expected to be white, but it is red.
  In (8,14), the ground is expected to be white, but it is red.
  In (8,15), the ground is expected to be white, but it is red.
  In (8,17), the ground is expected to be white, but it is red.
  In (8,19), the ground is expected to be white, but it is red.
  In (8,20), the ground is expected to be white, but it is yellow.
  In (8,21), the ground is expected to be white, but it is yellow.
  In (8,22), the ground is expected to be white, but it is yellow.
  In (8,23), the ground is expected to be white, but it is yellow.
  In (8,24), the ground is expected to be white, but it is yellow.
  In (8,26), the ground is expected to be white, but it is red.
  In (8,30), the ground is expected to be white, but it is red.
  In (8,31), the ground is expected to be yellow, but it is white.
  In (8,32), the ground is expected to be yellow, but it is white.
  In (8,33), the ground is expected to be yellow, but it is white.
  In (8,34), the ground is expected to be white, but it is yellow.
  In (8,36), the ground is expected to be yellow, but it is red.
  In (8,37), the ground is expected to be yellow, but it is white.
  In (8,39), the ground is expected to be yellow, but it is white.
  In (8,40), the ground is expected to be white, but it is yellow.
  In (8,41), the ground is expected to be yellow, but it is white.
  In (8,44), the ground is expected to be white, but it is red.
  In (8,45), the ground is expected to be yellow, but it is white.
  In (8,46), the ground is expected to be yellow, but it is white.
  In (8,47), the ground is expected to be yellow, but it is white.
  In (8,48), the ground is expected to be yellow, but it is red.
  In (8,49), the ground is expected to be yellow, but it is white.
  In (8,50), the ground is expected to be yellow, but it is red.
  In (8,52), the ground is expected to be yellow, but it is white.
  In (8,54), the ground is expected to be yellow, but it is white.
  In (8,55), the ground is expected to be yellow, but it is white.
  In (8,57), the ground is expected to be white, but it is red.
  In (8,62), the ground is expected to be white, but it is yellow.
  In (8,64), the ground is expected to be white, but it is yellow.
  In (8,66), the ground is expected to be white, but it is red.
  In (8,68), the ground is expected to be white, but it is red.
  In (8,69), the ground is expected to be white, but it is yellow.
  In (8,70), the ground is expected to be white, but it is red.
  In (8,73), the ground is expected to be white, but it is red.
  In (8,75), the ground is expected to be white, but it is yellow.
  In (8,76), the ground is expected to be white, but it is red.
  In (8,77), the ground is expected to be white, but it is yellow.
  In (8,78), the ground is expected to be white, but it is yellow.
  In (8,79), the ground is expected to be white, but it is red.
  In (8,80), the ground is expected to be white, but it is yellow.
  In (8,81), the ground is expected to be white, but it is yellow.
  In (8,84), the ground is expected to be white, but it is red.
  In (8,85), the ground is expected to be white, but it is yellow.
  In (8,91), the ground is expected to be white, but it is red.
  In (8,95), the ground is expected to be white, but it is yellow.
  In (8,97), the ground is expected to be white, but it is red.
  In (8,98), the ground is expected to be white, but it is red.
  In (8,99), the ground is expected to be white, but it is yellow.
  In (9,0), the ground is expected to be white, but it is red.
  In (9,1), the ground is expected to be white, but it is yellow.
  In (9,3), the ground is expected to be white, but it is yellow.
  In (9,4), the ground is expected to be white, but it is red.
  In (9,6), the ground is expected to be white, but it is yellow.
  In (9,7), the ground is expected to be white, but it is yellow.
  In (9,8), the ground is expected to be white, but it is red.
  In (9,9), the ground is expected to be white, but it is red.
  In (9,10), the ground is expected to be white, but it is yellow.
  In (9,11), the ground is expected to be white, but it is yellow.
  In (9,12), the ground is expected to be white, but it is red.
  In (9,13), the ground is expected to be white, but it is red.
  In (9,14), the ground is expected to be white, but it is red.
  In (9,15), the ground is expected to be white, but it is red.
  In (9,16), the ground is expected to be white, but it is yellow.
  In (9,17), the ground is expected to be white, but it is yellow.
  In (9,19), the ground is expected to be white, but it is red.
  In (9,23), the ground is expected to be white, but it is red.
  In (9,25), the ground is expected to be white, but it is yellow.
  In (9,29), the ground is expected to be white, but it is red.
  In (9,31), the ground is expected to be yellow, but it is red.
  In (9,32), the ground is expected to be yellow, but it is white.
  In (9,34), the ground is expected to be yellow, but it is white.
  In (9,35), the ground is expected to be white, but it is yellow.
  In (9,37), the ground is expected to be yellow, but it is red.
  In (9,39), the ground is expected to be yellow, but it is white.
  In (9,44), the ground is expected to be yellow, but it is white.
  In (9,45), the ground is expected to be white, but it is red.
  In (9,47), the ground is expected to be yellow, but it is white.
  In (9,49), the ground is expected to be yellow, but it is red.
  In (9,50), the ground is expected to be yellow, but it is white.
  In (9,54), the ground is expected to be yellow, but it is white.
  In (9,55), the ground is expected to be white, but it is red.
  In (9,56), the ground is expected to be yellow, but it is white.
  In (9,57), the ground is expected to be yellow, but it is red.
  In (9,58), the ground is expected to be yellow, but it is red.
  In (9,61), the ground is expected to be white, but it is red.
  In (9,63), the ground is expected to be white, but it is yellow.
  In (9,64), the ground is expected to be white, but it is red.
  In (9,65), the ground is expected to be white, but it is yellow.
  In (9,68), the ground is expected to be white, but it is yellow.
  In (9,71), the ground is expected to be white, but it is red.
  In (9,75), the ground is expected to be white, but it is yellow.
  In (9,77), the ground is expected to be white, but it is yellow.
  In (9,78), the ground is expected to be white, but it is yellow.
  In (9,79), the ground is expected to be white, but it is red.
  In (9,81), the ground is expected to be white, but it is red.
  In (9,82), the ground is expected to be white, but it is red.
  In (9,84), the ground is expected to be white, but it is yellow.
  In (9,85), the ground is expected to be white, but it is red.
  In (9,88), the ground is expected to be white, but it is yellow.
  In (9,89), the ground is expected to be white, but it is yellow.
  In (9,90), the ground is expected to be white, but it is red.
