The amount of steps is wrong: 8342 is not 0
  In (22,58), the ground is expected to be yellow, but it is white.
  In (22,61), the ground is expected to be yellow, but it is white.
  In (22,62), the ground is expected to be yellow, but it is white.
  In (22,63), the ground is expected to be white, but it is yellow.
  In (22,64), the ground is expected to be white, but it is yellow.
  In (22,66), the ground is expected to be white, but it is yellow.
  In (22,68), the ground is expected to be white, but it is yellow.
  In (22,69), the ground is expected to be white, but it is yellow.
  In (22,70), the ground is expected to be white, but it is yellow.
  In (23,12), the ground is expected to be yellow, but it is white.
  In (23,13), the ground is expected to be yellow, but it is white.
  In (23,15), the ground is expected to be yellow, but it is white.
  In (23,17), the ground is expected to be yellow, but it is white.
  In (23,18), the ground is expected to be yellow, but it is white.
  In (23,19), the ground is expected to be yellow, but it is white.
  In (23,20), the ground is expected to be yellow, but it is white.
  In (23,21), the ground is expected to be yellow, but it is white.
  In (23,24), the ground is expected to be white, but it is yellow.
  In (23,25), the ground is expected to be yellow, but it is white.
  In (23,26), the ground is expected to be white, but it is yellow.
  In (23,28), the ground is expected to be yellow, but it is white.
  In (23,29), the ground is expected to be white, but it is yellow.
  In (23,30), the ground is expected to be white, but it is yellow.
  In (23,33), the ground is expected to be yellow, but it is white.
  In (23,34), the ground is expected to be yellow, but it is white.
  In (23,35), the ground is expected to be yellow, but it is white.
  In (23,40), the ground is expected to be yellow, but it is white.
  In (23,43), the ground is expected to be white, but it is yellow.
  In (23,44), the ground is expected to be yellow, but it is white.
  In (23,45), the ground is expected to be yellow, but it is white.
  In (23,47), the ground is expected to be yellow, but it is white.
  In (23,48), the ground is expected to be yellow, but it is white.
  In (23,51), the ground is expected to be yellow, but it is white.
  In (23,52), the ground is expected to be yellow, but it is white.
  In (23,53), the ground is expected to be yellow, but it is white.
  In (23,54), the ground is expected to be yellow, but it is white.
  In (23,55), the ground is expected to be yellow, but it is white.
  In (23,56), the ground is expected to be yellow, but it is white.
  In (23,59), the ground is expected to be yellow, but it is white.
  In (23,61), the ground is expected to be yellow, but it is white.
  In (23,62), the ground is expected to be yellow, but it is white.
  In (23,63), the ground is expected to be yellow, but it is white.
  In (23,64), the ground is expected to be yellow, but it is white.
  In (23,65), the ground is expected to be yellow, but it is white.
  In (23,66), the ground is expected to be white, but it is yellow.
  In (23,67), the ground is expected to be white, but it is yellow.
  In (23,68), the ground is expected to be white, but it is yellow.
  In (23,73), the ground is expected to be white, but it is yellow.
  In (23,74), the ground is expected to be white, but it is yellow.
  In (24,11), the ground is expected to be yellow, but it is white.
  In (24,12), the ground is expected to be yellow, but it is white.
  In (24,14), the ground is expected to be yellow, but it is white.
  In (24,15), the ground is expected to be yellow, but it is white.
  In (24,19), the ground is expected to be white, but it is yellow.
  In (24,21), the ground is expected to be white, but it is yellow.
  In (24,24), the ground is expected to be white, but it is yellow.
  In (24,25), the ground is expected to be white, but it is yellow.
  In (24,26), the ground is expected to be white, but it is yellow.
  In (24,28), the ground is expected to be white, but it is yellow.
  In (24,29), the ground is expected to be white, but it is yellow.
  In (24,30), the ground is expected to be white, but it is yellow.
  In (24,31), the ground is expected to be white, but it is yellow.
  In (24,36), the ground is expected to be yellow, but it is white.
  In (24,39), the ground is expected to be yellow, but it is white.
  In (24,40), the ground is expected to be yellow, but it is white.
  In (24,42), the ground is expected to be yellow, but it is white.
  In (24,43), the ground is expected to be yellow, but it is white.
  In (24,45), the ground is expected to be white, but it is yellow.
  In (24,47), the ground is expected to be yellow, but it is white.
  In (24,50), the ground is expected to be white, but it is yellow.
  In (24,51), the ground is expected to be white, but it is yellow.
  In (24,53), the ground is expected to be white, but it is yellow.
  In (24,54), the ground is expected to be white, but it is yellow.
  In (24,59), the ground is expected to be yellow, but it is white.
  In (24,60), the ground is expected to be yellow, but it is white.
  In (24,63), the ground is expected to be yellow, but it is white.
  In (24,68), the ground is expected to be white, but it is yellow.
  In (24,69), the ground is expected to be white, but it is yellow.
  In (24,70), the ground is expected to be white, but it is yellow.
  In (24,71), the ground is expected to be white, but it is yellow.
  In (24,72), the ground is expected to be white, but it is yellow.
  In (24,76), the ground is expected to be white, but it is yellow.
  In (25,8), the ground is expected to be yellow, but it is white.
  In (25,9), the ground is expected to be yellow, but it is white.
