The amount of steps is wrong: 200000 is not 0
  In (13,58), the ground is expected to be white, but it is orange.
  In (13,60), the ground is expected to be yellow, but it is white.
  In (13,62), the ground is expected to be white, but it is red.
  In (13,63), the ground is expected to be white, but it is red.
  In (13,64), the ground is expected to be white, but it is yellow.
  In (13,65), the ground is expected to be white, but it is yellow.
  In (13,66), the ground is expected to be white, but it is red.
  In (13,67), the ground is expected to be white, but it is red.
  In (14,18), the ground is expected to be white, but it is yellow.
  In (14,19), the ground is expected to be white, but it is green.
  In (14,21), the ground is expected to be white, but it is grey.
  In (14,22), the ground is expected to be white, but it is red.
  In (14,23), the ground is expected to be white, but it is black.
  In (14,24), the ground is expected to be white, but it is black.
  In (14,25), the ground is expected to be white, but it is black.
  In (14,26), the ground is expected to be white, but it is black.
  In (14,27), the ground is expected to be white, but it is grey.
  In (14,28), the ground is expected to be white, but it is green.
  In (14,30), the ground is expected to be white, but it is orange.
  In (14,31), the ground is expected to be white, but it is grey.
  In (14,34), the ground is expected to be yellow, but it is blue.
  In (14,35), the ground is expected to be white, but it is cyan.
  In (14,36), the ground is expected to be white, but it is green.
  In (14,37), the ground is expected to be yellow, but it is white.
  In (14,38), the ground is expected to be white, but it is grey.
  In (14,39), the ground is expected to be yellow, but it is black.
  In (14,40), the ground is expected to be white, but it is orange.
  In (14,41), the ground is expected to be yellow, but it is orange.
  In (14,42), the ground is expected to be yellow, but it is grey.
  In (14,43), the ground is expected to be white, but it is cyan.
  In (14,44), the ground is expected to be yellow, but it is grey.
  In (14,45), the ground is expected to be yellow, but it is grey.
  In (14,46), the ground is expected to be white, but it is black.
  In (14,47), the ground is expected to be yellow, but it is blue.
  In (14,48), the ground is expected to be yellow, but it is magenta.
  In (14,49), the ground is expected to be yellow, but it is white.
  In (14,50), the ground is expected to be white, but it is black.
  In (14,51), the ground is expected to be white, but it is grey.
  In (14,52), the ground is expected to be white, but it is magenta.
  In (14,53), the ground is expected to be white, but it is black.
  In (14,54), the ground is expected to be yellow, but it is grey.
  In (14,57), the ground is expected to be white, but it is orange.
  In (14,58), the ground is expected to be yellow, but it is cyan.
  In (14,59), the ground is expected to be white, but it is red.
  In (14,60), the ground is expected to be yellow, but it is red.
  In (14,61), the ground is expected to be yellow, but it is red.
  In (15,18), the ground is expected to be white, but it is yellow.
  In (15,19), the ground is expected to be white, but it is green.
  In (15,21), the ground is expected to be white, but it is yellow.
  In (15,22), the ground is expected to be white, but it is magenta.
  In (15,23), the ground is expected to be white, but it is green.
  In (15,24), the ground is expected to be white, but it is green.
  In (15,25), the ground is expected to be white, but it is blue.
  In (15,26), the ground is expected to be white, but it is blue.
  In (15,27), the ground is expected to be white, but it is yellow.
  In (15,29), the ground is expected to be white, but it is blue.
  In (15,31), the ground is expected to be white, but it is magenta.
  In (15,32), the ground is expected to be yellow, but it is orange.
  In (15,34), the ground is expected to be white, but it is yellow.
  In (15,35), the ground is expected to be white, but it is grey.
  In (15,36), the ground is expected to be white, but it is green.
  In (15,37), the ground is expected to be white, but it is orange.
  In (15,38), the ground is expected to be white, but it is magenta.
  In (15,39), the ground is expected to be white, but it is green.
  In (15,41), the ground is expected to be yellow, but it is red.
