The amount of steps is wrong: 15000 is not 0
  In (6,6), the ground is expected to be white, but it is red.
  In (6,7), the ground is expected to be white, but it is red.
  In (6,8), the ground is expected to be white, but it is red.
  In (6,9), the ground is expected to be white, but it is red.
  In (6,10), the ground is expected to be white, but it is red.
  In (6,11), the ground is expected to be white, but it is red.
  In (6,12), the ground is expected to be white, but it is red.
  In (6,13), the ground is expected to be white, but it is red.
  In (6,14), the ground is expected to be white, but it is red.
  In (6,15), the ground is expected to be white, but it is red.
  In (6,16), the ground is expected to be white, but it is red.
  In (6,17), the ground is expected to be white, but it is red.
  In (6,18), the ground is expected to be white, but it is red.
  In (6,19), the ground is expected to be white, but it is red.
  In (6,20), the ground is expected to be white, but it is red.
  In (6,21), the ground is expected to be white, but it is red.
  In (6,22), the ground is expected to be white, but it is red.
  In (6,23), the ground is expected to be white, but it is red.
  In (6,24), the ground is expected to be white, but it is red.
  In (6,25), the ground is expected to be white, but it is cyan.
  In (6,26), the ground is expected to be white, but it is green.
  In (6,27), the ground is expected to be white, but it is yellow.
  In (6,28), the ground is expected to be white, but it is orange.
  In (6,29), the ground is expected to be white, but it is blue.
  In (6,31), the ground is expected to be yellow, but it is blue.
  In (6,32), the ground is expected to be yellow, but it is green.
  In (6,33), the ground is expected to be yellow, but it is red.
  In (6,34), the ground is expected to be yellow, but it is dark grey.
  In (6,35), the ground is expected to be white, but it is dark grey.
  In (6,36), the ground is expected to be yellow, but it is dark grey.
  In (6,37), the ground is expected to be yellow, but it is green.
  In (6,38), the ground is expected to be white, but it is dark grey.
  In (6,39), the ground is expected to be white, but it is black.
  In (6,40), the ground is expected to be white, but it is orange.
  In (6,41), the ground is expected to be white, but it is cyan.
  In (6,42), the ground is expected to be white, but it is magenta.
  In (6,43), the ground is expected to be white, but it is black.
  In (6,44), the ground is expected to be white, but it is green.
  In (6,45), the ground is expected to be white, but it is cyan.
  In (6,46), the ground is expected to be white, but it is cyan.
  In (6,47), the ground is expected to be white, but it is cyan.
  In (6,48), the ground is expected to be yellow, but it is red.
  In (6,49), the ground is expected to be yellow, but it is red.
  In (6,50), the ground is expected to be white, but it is red.
  In (6,51), the ground is expected to be white, but it is cyan.
  In (6,52), the ground is expected to be yellow, but it is green.
  In (6,53), the ground is expected to be yellow, but it is black.
  In (6,54), the ground is expected to be white, but it is yellow.
  In (6,55), the ground is expected to be white, but it is yellow.
  In (6,56), the ground is expected to be white, but it is magenta.
  In (6,57), the ground is expected to be white, but it is orange.
  In (6,58), the ground is expected to be white, but it is red.
  In (6,59), the ground is expected to be white, but it is red.
  In (6,60), the ground is expected to be white, but it is red.
  In (6,61), the ground is expected to be white, but it is red.
  In (6,62), the ground is expected to be white, but it is red.
  In (6,63), the ground is expected to be white, but it is red.
  In (6,64), the ground is expected to be white, but it is yellow.
  In (7,4), the ground is expected to be white, but it is yellow.
  In (7,5), the ground is expected to be white, but it is red.
  In (7,6), the ground is expected to be white, but it is red.
  In (7,7), the ground is expected to be white, but it is red.
  In (7,8), the ground is expected to be white, but it is red.
  In (7,9), the ground is expected to be white, but it is red.
  In (7,10), the ground is expected to be white, but it is red.
  In (7,11), the ground is expected to be white, but it is red.
  In (7,12), the ground is expected to be white, but it is red.
  In (7,13), the ground is expected to be white, but it is red.
  In (7,14), the ground is expected to be white, but it is red.
  In (7,15), the ground is expected to be white, but it is red.
  In (7,16), the ground is expected to be white, but it is red.
  In (7,17), the ground is expected to be white, but it is red.
  In (7,18), the ground is expected to be white, but it is red.
  In (7,19), the ground is expected to be white, but it is red.
