The amount of steps is wrong: 8342 is not 0
  In (25,41), the ground is expected to be yellow, but it is white.
  In (25,42), the ground is expected to be yellow, but it is white.
  In (25,43), the ground is expected to be yellow, but it is white.
  In (25,44), the ground is expected to be yellow, but it is white.
  In (25,45), the ground is expected to be yellow, but it is white.
  In (25,47), the ground is expected to be yellow, but it is white.
  In (25,49), the ground is expected to be yellow, but it is white.
  In (25,50), the ground is expected to be yellow, but it is white.
  In (25,51), the ground is expected to be yellow, but it is white.
  In (25,55), the ground is expected to be yellow, but it is white.
  In (25,56), the ground is expected to be yellow, but it is white.
  In (25,61), the ground is expected to be yellow, but it is white.
  In (25,63), the ground is expected to be yellow, but it is white.
  In (25,64), the ground is expected to be yellow, but it is white.
  In (25,65), the ground is expected to be yellow, but it is white.
  In (26,8), the ground is expected to be yellow, but it is white.
  In (26,10), the ground is expected to be yellow, but it is white.
  In (26,11), the ground is expected to be yellow, but it is white.
  In (26,12), the ground is expected to be yellow, but it is white.
  In (26,15), the ground is expected to be yellow, but it is white.
  In (26,17), the ground is expected to be yellow, but it is white.
  In (26,18), the ground is expected to be yellow, but it is white.
  In (26,21), the ground is expected to be yellow, but it is white.
  In (26,22), the ground is expected to be yellow, but it is white.
  In (26,23), the ground is expected to be yellow, but it is white.
  In (26,25), the ground is expected to be yellow, but it is white.
  In (26,27), the ground is expected to be yellow, but it is white.
  In (26,28), the ground is expected to be yellow, but it is white.
  In (26,31), the ground is expected to be yellow, but it is white.
  In (26,32), the ground is expected to be yellow, but it is white.
  In (26,33), the ground is expected to be yellow, but it is white.
  In (26,34), the ground is expected to be yellow, but it is white.
  In (26,35), the ground is expected to be yellow, but it is white.
  In (26,37), the ground is expected to be yellow, but it is white.
  In (26,40), the ground is expected to be yellow, but it is white.
  In (26,42), the ground is expected to be yellow, but it is white.
  In (26,45), the ground is expected to be yellow, but it is white.
  In (26,49), the ground is expected to be yellow, but it is white.
  In (26,51), the ground is expected to be yellow, but it is white.
  In (26,56), the ground is expected to be yellow, but it is white.
  In (26,57), the ground is expected to be yellow, but it is white.
  In (26,60), the ground is expected to be yellow, but it is white.
  In (26,61), the ground is expected to be yellow, but it is white.
  In (26,62), the ground is expected to be yellow, but it is white.
  In (26,65), the ground is expected to be yellow, but it is white.
  In (27,8), the ground is expected to be yellow, but it is white.
  In (27,9), the ground is expected to be yellow, but it is white.
  In (27,14), the ground is expected to be yellow, but it is white.
  In (27,16), the ground is expected to be yellow, but it is white.
  In (27,20), the ground is expected to be yellow, but it is white.
  In (27,22), the ground is expected to be yellow, but it is white.
  In (27,23), the ground is expected to be yellow, but it is white.
  In (27,24), the ground is expected to be yellow, but it is white.
  In (27,25), the ground is expected to be yellow, but it is white.
  In (27,26), the ground is expected to be yellow, but it is white.
  In (27,27), the ground is expected to be yellow, but it is white.
  In (27,28), the ground is expected to be yellow, but it is white.
  In (27,30), the ground is expected to be yellow, but it is white.
  In (27,31), the ground is expected to be yellow, but it is white.
  In (27,32), the ground is expected to be yellow, but it is white.
  In (27,33), the ground is expected to be yellow, but it is white.
  In (27,34), the ground is expected to be yellow, but it is white.
  In (27,35), the ground is expected to be yellow, but it is white.
  In (27,36), the ground is expected to be yellow, but it is white.
  In (27,38), the ground is expected to be yellow, but it is white.
  In (27,43), the ground is expected to be yellow, but it is white.
  In (27,44), the ground is expected to be yellow, but it is white.
  In (27,47), the ground is expected to be yellow, but it is white.
  In (27,49), the ground is expected to be yellow, but it is white.
  In (27,50), the ground is expected to be yellow, but it is white.
  In (27,51), the ground is expected to be yellow, but it is white.
  In (27,56), the ground is expected to be yellow, but it is white.
  In (27,61), the ground is expected to be yellow, but it is white.
  In (27,62), the ground is expected to be yellow, but it is white.
  In (28,7), the ground is expected to be yellow, but it is white.
  In (28,10), the ground is expected to be yellow, but it is white.
  In (28,11), the ground is expected to be yellow, but it is white.
  In (28,12), the ground is expected to be yellow, but it is white.
  In (28,13), the ground is expected to be yellow, but it is white.
  In (28,14), the ground is expected to be yellow, but it is white.
  In (28,15), the ground is expected to be yellow, but it is white.
  In (28,16), the ground is expected to be yellow, but it is white.
  In (28,17), the ground is expected to be yellow, but it is white.
  In (28,18), the ground is expected to be yellow, but it is white.
  In (28,21), the ground is expected to be yellow, but it is white.
  In (28,22), the ground is expected to be yellow, but it is white.
  In (28,24), the ground is expected to be yellow, but it is white.
  In (28,28), the ground is expected to be yellow, but it is white.
  In (28,29), the ground is expected to be yellow, but it is white.
  In (28,30), the ground is expected to be yellow, but it is white.
  In (28,32), the ground is expected to be yellow, but it is white.
  In (28,33), the ground is expected to be yellow, but it is white.
  In (28,39), the ground is expected to be yellow, but it is white.
  In (28,44), the ground is expected to be yellow, but it is white.
  In (28,47), the ground is expected to be yellow, but it is white.
  In (28,48), the ground is expected to be yellow, but it is white.
  In (28,49), the ground is expected to be yellow, but it is white.
  In (28,50), the ground is expected to be yellow, but it is white.
  In (28,54), the ground is expected to be yellow, but it is white.
  In (28,56), the ground is expected to be yellow, but it is white.
  In (28,57), the ground is expected to be yellow, but it is white.
