The amount of steps is wrong: 42000 is not 0
  In (13,35), the ground is expected to be yellow, but it is white.
  In (13,37), the ground is expected to be yellow, but it is white.
  In (13,41), the ground is expected to be yellow, but it is white.
  In (13,42), the ground is expected to be yellow, but it is white.
  In (13,43), the ground is expected to be yellow, but it is white.
  In (13,44), the ground is expected to be yellow, but it is white.
  In (13,45), the ground is expected to be yellow, but it is white.
  In (13,46), the ground is expected to be yellow, but it is white.
  In (13,47), the ground is expected to be yellow, but it is white.
  In (13,48), the ground is expected to be yellow, but it is white.
  In (13,49), the ground is expected to be yellow, but it is white.
  In (13,51), the ground is expected to be yellow, but it is white.
  In (13,54), the ground is expected to be white, but it is yellow.
  In (13,56), the ground is expected to be white, but it is yellow.
  In (13,58), the ground is expected to be white, but it is yellow.
  In (13,61), the ground is expected to be white, but it is yellow.
  In (13,65), the ground is expected to be white, but it is yellow.
  In (13,66), the ground is expected to be white, but it is yellow.
  In (13,68), the ground is expected to be white, but it is yellow.
  In (13,70), the ground is expected to be white, but it is yellow.
  In (13,71), the ground is expected to be white, but it is yellow.
  In (13,72), the ground is expected to be white, but it is yellow.
  In (13,77), the ground is expected to be white, but it is yellow.
  In (13,79), the ground is expected to be white, but it is yellow.
  In (13,80), the ground is expected to be white, but it is yellow.
  In (13,82), the ground is expected to be white, but it is yellow.
  In (13,83), the ground is expected to be white, but it is yellow.
  In (13,85), the ground is expected to be white, but it is yellow.
  In (13,88), the ground is expected to be white, but it is yellow.
  In (13,89), the ground is expected to be white, but it is yellow.
  In (13,90), the ground is expected to be white, but it is yellow.
  In (13,93), the ground is expected to be white, but it is yellow.
  In (13,94), the ground is expected to be white, but it is yellow.
  In (13,95), the ground is expected to be white, but it is yellow.
  In (13,96), the ground is expected to be white, but it is yellow.
  In (14,0), the ground is expected to be white, but it is yellow.
  In (14,3), the ground is expected to be white, but it is yellow.
  In (14,5), the ground is expected to be white, but it is yellow.
  In (14,33), the ground is expected to be yellow, but it is white.
  In (14,34), the ground is expected to be yellow, but it is white.
  In (14,37), the ground is expected to be yellow, but it is white.
  In (14,39), the ground is expected to be yellow, but it is white.
  In (14,41), the ground is expected to be yellow, but it is white.
  In (14,42), the ground is expected to be yellow, but it is white.
  In (14,44), the ground is expected to be yellow, but it is white.
  In (14,45), the ground is expected to be yellow, but it is white.
  In (14,47), the ground is expected to be yellow, but it is white.
  In (14,52), the ground is expected to be white, but it is yellow.
  In (14,56), the ground is expected to be white, but it is yellow.
  In (14,58), the ground is expected to be yellow, but it is white.
  In (14,59), the ground is expected to be white, but it is yellow.
  In (14,61), the ground is expected to be yellow, but it is white.
  In (14,62), the ground is expected to be white, but it is yellow.
  In (14,63), the ground is expected to be white, but it is yellow.
  In (14,64), the ground is expected to be white, but it is yellow.
  In (14,68), the ground is expected to be white, but it is yellow.
  In (14,69), the ground is expected to be white, but it is yellow.
  In (14,71), the ground is expected to be white, but it is yellow.
  In (14,73), the ground is expected to be white, but it is yellow.
  In (14,83), the ground is expected to be white, but it is yellow.
  In (14,91), the ground is expected to be white, but it is yellow.
  In (14,92), the ground is expected to be white, but it is yellow.
  In (14,95), the ground is expected to be white, but it is yellow.
  In (14,98), the ground is expected to be white, but it is yellow.
  In (14,99), the ground is expected to be white, but it is yellow.
  In (15,2), the ground is expected to be white, but it is yellow.
  In (15,5), the ground is expected to be white, but it is yellow.
  In (15,6), the ground is expected to be white, but it is yellow.
  In (15,32), the ground is expected to be yellow, but it is white.
  In (15,33), the ground is expected to be yellow, but it is white.
  In (15,41), the ground is expected to be yellow, but it is white.
  In (15,43), the ground is expected to be yellow, but it is white.
  In (15,44), the ground is expected to be yellow, but it is white.
  In (15,45), the ground is expected to be yellow, but it is white.
  In (15,49), the ground is expected to be yellow, but it is white.
  In (15,51), the ground is expected to be yellow, but it is white.
  In (15,52), the ground is expected to be white, but it is yellow.
  In (15,57), the ground is expected to be white, but it is yellow.
  In (15,59), the ground is expected to be yellow, but it is white.
  In (15,60), the ground is expected to be white, but it is yellow.
  In (15,61), the ground is expected to be yellow, but it is white.
  In (15,63), the ground is expected to be white, but it is yellow.
  In (15,67), the ground is expected to be white, but it is yellow.
  In (15,71), the ground is expected to be white, but it is yellow.
  In (15,73), the ground is expected to be white, but it is yellow.
  In (15,74), the ground is expected to be white, but it is yellow.
  In (15,76), the ground is expected to be white, but it is yellow.
  In (15,78), the ground is expected to be white, but it is yellow.
  In (15,80), the ground is expected to be white, but it is yellow.
