The amount of steps is wrong: 98000 is not 0
  In (14,57), the ground is expected to be white, but it is orange.
  In (14,58), the ground is expected to be yellow, but it is red.
  In (14,59), the ground is expected to be white, but it is green.
  In (14,60), the ground is expected to be yellow, but it is red.
  In (14,61), the ground is expected to be yellow, but it is cyan.
  In (14,63), the ground is expected to be white, but it is orange.
  In (14,64), the ground is expected to be white, but it is red.
  In (14,65), the ground is expected to be white, but it is cyan.
  In (14,66), the ground is expected to be white, but it is red.
  In (14,68), the ground is expected to be white, but it is yellow.
  In (14,69), the ground is expected to be white, but it is cyan.
  In (14,71), the ground is expected to be white, but it is orange.
  In (14,72), the ground is expected to be white, but it is orange.
  In (14,74), the ground is expected to be white, but it is orange.
  In (14,75), the ground is expected to be white, but it is cyan.
  In (14,76), the ground is expected to be white, but it is red.
  In (14,77), the ground is expected to be white, but it is red.
  In (15,32), the ground is expected to be yellow, but it is white.
  In (15,33), the ground is expected to be yellow, but it is white.
  In (15,37), the ground is expected to be white, but it is yellow.
  In (15,38), the ground is expected to be white, but it is red.
  In (15,40), the ground is expected to be white, but it is cyan.
  In (15,41), the ground is expected to be yellow, but it is white.
  In (15,44), the ground is expected to be yellow, but it is cyan.
  In (15,45), the ground is expected to be yellow, but it is orange.
  In (15,47), the ground is expected to be yellow, but it is green.
  In (15,48), the ground is expected to be white, but it is red.
  In (15,49), the ground is expected to be yellow, but it is cyan.
  In (15,50), the ground is expected to be yellow, but it is orange.
  In (15,51), the ground is expected to be yellow, but it is red.
  In (15,54), the ground is expected to be white, but it is red.
  In (15,55), the ground is expected to be yellow, but it is orange.
  In (15,56), the ground is expected to be yellow, but it is red.
  In (15,57), the ground is expected to be white, but it is yellow.
  In (15,58), the ground is expected to be yellow, but it is orange.
  In (15,59), the ground is expected to be yellow, but it is orange.
  In (15,60), the ground is expected to be white, but it is orange.
  In (15,61), the ground is expected to be yellow, but it is orange.
  In (15,63), the ground is expected to be white, but it is orange.
  In (15,64), the ground is expected to be white, but it is red.
  In (15,65), the ground is expected to be white, but it is cyan.
  In (15,66), the ground is expected to be white, but it is red.
  In (15,68), the ground is expected to be white, but it is yellow.
  In (15,69), the ground is expected to be white, but it is green.
  In (15,70), the ground is expected to be white, but it is red.
